,provincia,comunidad autonoma,titulo,precio,habitaciones,metros,total inmuebles/comunidad
189,La Coruña,Galicia,"Piso en calle do Cruceiro da Coruña, 14, San Lazaro - Meixonfrio, Santiago de Compostela",550,3,144,1751
190,La Coruña,Galicia,"Ático en calle do hórreo, 96, Ensanche - Sar, Santiago de Compostela",750,3,90,1751
191,La Coruña,Galicia,"Piso en calle Ramón Cabanillas, Cambre, s/n, Cambre",1000,1,130,1751
192,La Coruña,Galicia,"Casa o chalet independiente en Martinez Salazar, 17, Ciudad Jardín, A Coruña",4500,12,663,1751
193,La Coruña,Galicia,"Piso en calle do Hórreo, 100, Ensanche - Sar, Santiago de Compostela",400,1,40,1751
194,La Coruña,Galicia,"Piso en avenida Finisterre, Juan Flórez-San Pablo, A Coruña",750,2,70,1751
195,La Coruña,Galicia,"Piso en calle Juan Díaz Porlier, Someso - Matogrande, A Coruña",800,3,110,1751
196,La Coruña,Galicia,"Piso en calle TABERNAS, 1, Ciudad Vieja - Centro, A Coruña",750,3,65,1751
197,La Coruña,Galicia,"Ático en san andres 109, Ensanche, A Coruña",975,2,75,1751
198,La Coruña,Galicia,"Piso en avenida glasgow, Someso - Matogrande, A Coruña",630,3,95,1751
199,La Coruña,Galicia,"Piso en avenida de Finisterre, 24, Agra del Orzán - Ventorrillo, A Coruña",750,4,126,1751
200,La Coruña,Galicia,"Ático en calle Panaderas, Monte Alto - Zalaeta - Atocha, A Coruña",650,1,36,1751
201,La Coruña,Galicia,"Dúplex en avenida Rubine, 13, Juan Flórez-San Pablo, A Coruña",1500,4,158,1751
202,La Coruña,Galicia,"Casa o chalet independiente en calle Juno, 6, Perillo, Oleiros",2500,4,233,1751
203,La Coruña,Galicia,"Piso en calle Magistrado Manuel Artime, 2, Juan Flórez-San Pablo, A Coruña",1300,3,154,1751
204,La Coruña,Galicia,"Piso en plaza de Lugo, 2, Ensanche, A Coruña",1650,4,261,1751
205,La Coruña,Galicia,"Piso en avenida de Montserrat, Eirís, A Coruña",575,2,70,1751
206,La Coruña,Galicia,"Dúplex en avenida Miguel González Garcés, Elviña - A Zapateira, A Coruña",495,2,74,1751
207,La Coruña,Galicia,"Piso en avenida Miguel González Garcés, Elviña - A Zapateira, A Coruña",475,3,95,1751
208,La Coruña,Galicia,"Piso en calle Alameda, Ensanche, A Coruña",800,1,76,1751
209,La Coruña,Galicia,"Piso en calle Fipinas, 4, Os Mallos, A Coruña",800,4,106,1751
210,La Coruña,Galicia,"Piso en Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",475,1,36,1751
211,La Coruña,Galicia,"Piso en Fuente de San Amaro, 4, Monte Alto - Zalaeta - Atocha, A Coruña",800,3,97,1751
212,La Coruña,Galicia,"Piso en Rafael Baixeras, 6, Monte Alto - Zalaeta - Atocha, A Coruña",700,3,100,1751
213,La Coruña,Galicia,"Piso en calle Javier Fonte, 2, Monte Alto - Zalaeta - Atocha, A Coruña",650,4,110,1751
214,La Coruña,Galicia,"Piso en Adelaida Muro, 1, Monte Alto - Zalaeta - Atocha, A Coruña",1255,2,80,1751
215,La Coruña,Galicia,"Piso en C/ADELAIDA MURO, 1, Monte Alto - Zalaeta - Atocha, A Coruña",1380,3,122,1751
216,La Coruña,Galicia,"Piso en C/ADELAIDA MURO, 1, Monte Alto - Zalaeta - Atocha, A Coruña",2050,4,181,1751
217,La Coruña,Galicia,"Piso en Oza, Cuatro Caminos - Plaza de la Cubela, A Coruña",750,4,101,1751
218,La Coruña,Galicia,"Ático en Ramón y Cajal, Cuatro Caminos - Plaza de la Cubela, A Coruña",500,2,90,1751
219,La Coruña,Galicia,"Piso en RAMON Y CAJAL, Cuatro Caminos - Plaza de la Cubela, A Coruña",800,3,79,1751
220,La Coruña,Galicia,"Chalet pareado en Río Sil, Liáns, Oleiros",950,5,221,1751
221,La Coruña,Galicia,"Piso en José Cornide, Ensanche, A Coruña",1000,4,140,1751
222,La Coruña,Galicia,"Piso en Canedo, 6, Elviña - A Zapateira, A Coruña",445,1,48,1751
223,La Coruña,Galicia,Piso en Ares,1200,1,60,1751
224,La Coruña,Galicia,"Piso en plaza A Ria, Portádego - Vilaboa Norte, Culleredo",650,2,80,1751
225,La Coruña,Galicia,"Piso en calle de Feliciano Barrera Fernández, 15, Conxo, Santiago de Compostela",800,4,100,1751
226,La Coruña,Galicia,"Piso en capitan juan varela, 14, Os Mallos, A Coruña",750,3,70,1751
227,La Coruña,Galicia,"Piso en Ciudad Vieja - Centro, A Coruña",675,1,61,1751
228,La Coruña,Galicia,Casa o chalet independiente en Cambre,600,3,110,1751
229,La Coruña,Galicia,"Piso en avenida Finisterre, 49, Juan Flórez-San Pablo, A Coruña",750,2,63,1751
230,La Coruña,Galicia,"Casa o chalet independiente en calle do Vilar, 61, Casco Histórico, Santiago de Compostela",1100,3,129,1751
231,La Coruña,Galicia,"Piso en Ensanche - Sar, Santiago de Compostela",800,3,109,1751
232,La Coruña,Galicia,"Piso en Curros Enriquez, 11, Ensanche - Sar, Santiago de Compostela",1000,3,120,1751
233,La Coruña,Galicia,"Piso en ronda de Outeiro, 248, Agra del Orzán - Ventorrillo, A Coruña",470,3,86,1751
234,La Coruña,Galicia,"Piso en PERILLANA, Ensanche, A Coruña",550,1,40,1751
235,La Coruña,Galicia,"Piso en calle da República de El Salvador, Ensanche - Sar, Santiago de Compostela",900,3,117,1751
236,La Coruña,Galicia,"Piso en plaza Alfonso XIII, 7, Vioño, A Coruña",725,2,75,1751
237,La Coruña,Galicia,"Piso en ANTONIO MACHADO, s/n, Suevos-Pastoriza, Arteixo",350,1,45,1751
238,La Coruña,Galicia,"Piso en avenida ARTEIXO, 118, Vioño, A Coruña",750,2,85,1751
239,La Coruña,Galicia,"Piso en Socorro, 6, Monte Alto - Zalaeta - Atocha, A Coruña",650,4,75,1751
240,La Coruña,Galicia,"Piso en NOVOA SANTOS, s/n, Cuatro Caminos - Plaza de la Cubela, A Coruña",750,2,90,1751
241,La Coruña,Galicia,"Dúplex en avenida Miguel González Garcés, Elviña - A Zapateira, A Coruña",505,3,94,1751
242,La Coruña,Galicia,"Piso en Salvador de Madariaga, 17, Someso - Matogrande, A Coruña",750,4,137,1751
243,La Coruña,Galicia,"Piso en calle Galera, Ciudad Vieja - Centro, A Coruña",535,1,41,1751
244,La Coruña,Galicia,"Dúplex en Plazuela de los Ángeles, 8, Ciudad Vieja - Centro, A Coruña",2200,5,300,1751
245,La Coruña,Galicia,"Piso en calle DA TORRE, s/n, Monte Alto - Zalaeta - Atocha, A Coruña",700,2,80,1751
246,La Coruña,Galicia,"Dúplex en avenida MONTSERRAT, s/n, Eirís, A Coruña",850,3,120,1751
247,La Coruña,Galicia,"Piso en vista alegre, Campus norte - S.Caetano, Santiago de Compostela",700,3,80,1751
248,La Coruña,Galicia,"Casa rural en aldea mina, Boiro",2600,12,786,1751
249,La Coruña,Galicia,"Casa o chalet independiente en calle Juno, Perillo, Oleiros",2500,4,260,1751
